_id,max_likes,max_dislikes,max_views,date
Jim Carrey and Maya Rudolph Transform into Joe Biden and Kamala Harris - SNL,42891,2650,2526816,2020-10-01
Superspreader Event - SNL,43426,1370,2504202,2020-10-04
Weekend Update: Trump Tests Positive for Covid - SNL,40076,2449,2916986,2020-10-04
First Debate Cold Open - SNL,437775,57125,21954683,2020-10-04
New Normal - SNL,29237,1326,1646765,2020-10-11
VP Fly Debate Cold Open - SNL,188194,31682,12070479,2020-10-11
Dueling Town Halls Cold Open - SNL,100317,11249,7610686,2020-10-18
Adele Monologue - SNL,65916,1621,5002750,2020-10-25
Final Debate Cold Open - SNL,136664,20003,8321084,2020-10-25
The Bachelor - SNL,93511,1247,4929699,2020-10-25
Biden Victory Cold Open - SNL,275185,29394,14927666,2020-11-08
"Weekend Update: Rudy Giuliani on Trump's Election Lawsuits - SNL",83187,4679,5530282,2020-11-08
Rap Roundtable - SNL,214936,4382,5727960,2020-12-13
Twins - SNL,38236,870,1794947,2021-01-31
Super Bowl Pre-game Show Cold Open - SNL,35177,2714,2845426,2021-02-07
Britney Spears Cold Open - SNL,53080,5830,3912795,2021-02-21
Salt Bae - SNL,22567,1144,1207224,2021-04-04
Elon Musk Monologue - SNL,195326,16510,8649926,2021-05-09
Weekend Update: Financial Expert Lloyd Ostertag on Cryptocurrency - SNL,47815,2361,2193521,2021-05-09
Chad on Mars - SNL,154928,5103,4765679,2021-05-09
Wario - SNL,103978,36296,4951441,2021-05-09
Weekend Update: Pete Davidson on the Met Gala - SNL,41460,1080,1889278,2021-10-03
Kim Kardashian West Monologue - SNL,73804,5028,3677141,2021-10-10
The Dream Guy - SNL,67796,3970,3662525,2021-10-10
Please Don’t Destroy - Three Sad Virgins (ft. Taylor Swift) - SNL,121714,3041,3909419,2021-11-14
Taylor Swift: All Too Well (Live) - SNL,147346,1787,2923091,2021-11-14
Johnny Depp and Amber Heard Trial Cold Open - SNL,63641,0,6104838,2022-05-15
Final Encounter Cold Open - SNL,69199,0,3479118,2022-05-22
Weekend Update: Pete Davidson Says Goodbye for Now - SNL,67011,0,3092421,2022-05-22
ManningCast Cold Open - SNL,15793,0,1406390,2022-10-02
Try Guys - SNL,32755,0,2167367,2022-10-09
