avg_num_tags,views,video_id
6,208581468,gdZLi9oWNZg
26,206344829,gQlMMD8auMs
1,194625542,qF0N19MgI3Q
26,176467113,vRXZj0DzXIA
6,166895681,WMweEpGlu_U
4,156482499,CuklIb9d3fI
24,154134590,awkkyBH2zEo
6,141428767,-5q5mZbe3V8
26,124180499,dyRsYk0LyA8
34,121159003,8dJyRm2jJ-U
26,117791538,POe9SOEKotk
5,107534237,T6n7lZirQkA
20,104017073,U3ASj1L6_sY
3,100694053,46SbB0IHplE
3,95023322,pFtsvQuefXQ
24,94356729,CKZvWhCqx1s
4,93952431,kXpOEzNZ8hQ
33,93935173,hsm4poTWjMs
24,93279276,P0ya8iGw2QE
24,92559180,myjEoDypUD8
4,91348943,nB6r1oF2Dv0
26,89075984,2Zcz3Z0baVE
30,84063330,FLGCGc7sAUw
25,79358096,YxWlaYCA8MU
20,78817462,WPdWvnAAurg
40,78550806,XA2YEHn-A8Q
51,73860649,Hbb5GPxXF1w
26,72811825,6swmTBVI83k
21,71041875,fCO7f0SmrDc
22,70903522,8FAUEv_E_xQ
55,70501316,F0B7HDiY-10
22,69850655,CM4CkVFmTds
46,69824953,_ysomCGaZLw
4,68010978,DPMluEVUqS0
6,66540937,zFT3f9biz68
10,66270205,YTZ-GZPTND8
22,64423469,FLTal_F_J8c
40,64235086,FRilMXZqNhA
13,64144740,j5y6xLpRwx4
28,63987772,a7GITgqwDVg
9,62885609,O2W2gUXAt78
6,62496726,oxoWhyS9buA
2,61192885,gdsUKphmB3Y
23,59850727,rt-2cxAiPJk
13,58980893,H12SwqwR2NE
39,58357695,HO73gUhiYe0
6,57719607,OOMxU9f1FBU
29,57594063,f5_wn8mexmM
51,56642290,MjCZfZfucEc
7,56531571,tyrVtwE8Gv0
1,55593282,b6hyzp9E5dw
13,55005587,BNqg-1GBpLw
15,54615429,doLMt10ytHY
22,54324055,X20G8tMa6Hg
22,54190105,dP5VsjNH1nI
48,53596388,KR0g-1hnQPA
4,53541707,4vbDFu0PUew
29,53040446,dmW68lzaaqs
54,52632796,EaswWiwMVs8
42,52410942,k6jqx9kZgPM
21,51349182,dNCWe_6HAM8
54,51284907,Y8JFxS1HlDo
